"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
1,2513.08,212.852,64.4456,50.6095,204.509,204.268,203.371
2,1210.56,144.865,47.6527,33.0467,205.845,205.68,204.084
3,1270.97,160.274,46.3532,35.6019,206.759,206.737,204.813
4,865.661,127.085,44.3731,25.288,207.166,206.893,205.171
5,649.576,113.707,45.3636,18.5833,206.473,206.267,204.614
6,1058.62,135.805,45.9119,29.8887,204.922,204.782,202.738
7,628.199,108.797,41.7669,19.5065,203.101,203.094,201.005
8,899.934,123.275,41.6101,28.0585,201.505,201.508,199.467
9,1324.55,165.439,50.6107,33.8775,200.752,200.831,198.501
10,798.479,137.16,50.193,20.6791,198.519,198.523,196.53
11,151.849,88.5613,43.5873,4.54704,195.959,195.94,193.856
12,1294.21,150.791,47.0442,35.7131,190.917,190.922,188.848
13,2373.26,213.783,70.3491,43.8059,178.411,178.447,176.384
14,1.77061,10.668,2.12123,1.28651,132.091,119.909,81.8182
15,215.046,77.216,21.9392,12.9189,200.595,200.761,198.323
16,161.484,60.706,17.5315,12.0372,201.787,202.083,199.068
17,1.62724,7.112,1.86432,1.25637,136.675,123.975,90.425
18,86.4514,47.9213,13.6333,8.37113,198.392,198.182,195.209
19,240.172,75.7767,20.5158,15.423,206.928,206.949,204.782
20,194.193,73.4907,17.0571,14.7672,196.273,196.259,194.344
21,13.1326,22.5213,11.0712,1.54639,203.258,202.917,199.496
22,154.917,63.8387,19.3519,10.7542,206.131,206.212,204.119
23,202.172,74.5913,19.3571,13.9855,205.697,205.587,203.022
24,83.6629,53.34,14.8207,7.42651,203.108,203.526,200.121
25,539.612,111.929,30.9445,22.6531,204.184,204.793,201.123
26,125.584,54.356,15.5304,10.6655,203.976,204.888,199.742
27,423.332,104.563,29.0323,19.1569,192.328,192.336,190.183
28,91.1324,48.6833,13.3003,9.09779,205.173,205.169,202.651
29,203.935,81.3647,26.6393,10.3351,205.665,205.622,203.284
30,16.4086,23.5373,11.6563,1.83222,198.967,198.913,190.77
31,205.125,74.2527,18.2309,15.3158,205.742,205.787,203.625
32,312.042,86.36,23.0001,17.4767,199.549,199.978,196.617
33,470.945,116.671,28.8932,20.9763,203.698,203.652,201.749
34,1.7276,7.70467,2.21779,1.08881,142.444,129.389,89.8333
35,202.2,75.692,21.6702,12.713,187.027,187.025,184.744
36,152.258,63.0767,19.7482,10.3944,183.429,183.558,181.177
37,165.376,64.1773,20.4076,10.5433,208.224,208.175,205.647
38,124.014,54.7793,13.6541,12.0539,196.916,196.922,194.711
39,269.462,91.7787,22.7208,15.5386,194.615,194.599,192.252
40,158.501,62.0607,15.7215,13.2113,197.26,197.325,195.003
41,6.59497,14.732,3.46699,2.51271,143.583,128.594,77.0208
42,134.437,53.5093,14.7749,11.7919,202.227,203.294,198.284
43,239.039,81.4493,19.8608,15.5847,199.888,201.504,196.689
44,8.05016,22.5213,12.0631,0.869551,202.487,203.482,198.329
45,631.755,119.719,37.2455,21.9947,197.448,197.437,197.205
46,39.7204,47.4133,16.5115,3.14087,203.055,202.664,199.639
47,14.1362,24.892,12.7152,1.44834,204.621,204.618,202.095
48,138.243,66.7173,17.4742,10.4386,193.653,193.837,190.853
49,209.928,69.6807,20.0003,13.8006,205.704,205.762,203.548
50,160.337,66.294,19.4133,10.9489,203.798,204.19,201.425
51,150.172,61.2987,17.1817,11.7202,205.468,205.467,203.631
52,108.609,49.276,13.4596,10.4814,206.468,206.482,204.161
53,182.215,73.4907,17.2641,14.3135,202.165,202.124,201.58
54,118.43,52.1547,15.194,10.2233,206.07,206.184,204.074
55,349.562,93.3873,23.8154,18.9372,203.353,204.855,199.862
56,214.738,69.596,19.4931,14.3484,204.08,205.302,200.092
57,15.0537,22.6907,11.2831,1.73793,198.905,199.904,195.165
58,130.824,56.896,14.7957,11.6718,204.543,206.12,201.221
59,139.541,59.8593,16.9952,10.8971,196.059,196.938,193.438
60,2222.11,230.293,74.79,38.7933,171.479,171.562,169.534
61,243.562,68.2413,18.8591,16.6446,195.595,195.748,193.517
62,312.2,101.092,25.3473,15.9993,205.859,206.019,203.511
63,53.5339,42.0793,15.9433,4.48344,189.161,187.658,180.088
64,151.835,61.8067,17.9603,11.0799,190.591,190.671,188.269
65,241.577,77.6393,22.9746,14.0447,187.401,187.471,185.358
66,159.039,62.23,18.5313,11.1842,193.601,193.716,191.497
67,256.874,80.8567,23.652,14.5135,182.773,182.911,180.733
68,987.417,165.862,46.7257,27.266,196.295,198.263,194.732
69,247.562,81.6187,19.1515,17.2183,191.613,192.314,189.707
70,2.99641,8.80533,2.4077,1.68015,149.195,131.987,85.8506
71,277.77,77.47,21.3438,16.8564,205.399,205.348,203.699
72,92.9604,49.784,13.7951,8.8686,204.319,204.662,202.12
73,437.246,104.987,25.1203,22.7442,202.081,202.055,201.679
74,253.311,86.4447,20.5925,15.9859,203.222,205.09,201.447
75,337.963,100.415,22.2772,19.6615,205.372,206.903,203.61
76,1.87096,11.0067,1.82985,1.64236,143.444,129.222,94.3333
77,1032.84,149.183,41.9758,32.0163,194.147,194.293,193.892
78,130.1,59.0127,15.398,11.3206,188.339,189.368,186.55
79,129.462,61.722,17.3305,10.0268,205.876,206.114,203.881
80,212.086,73.0673,21.3165,13.0422,190.68,192.591,189.446
81,14.9247,20.9973,9.6393,2.0096,201.343,203.232,198.905
82,3.72759,9.652,4.37445,1.10889,197.068,198.405,192.527
83,51.3906,35.306,10.6584,6.23488,200.498,202.367,197.866
84,114.473,50.292,13.5706,11.0974,201.78,203.765,200.131
85,114.114,56.642,13.9692,10.6908,199.252,201.249,196.168
86,465.282,113.115,28.5504,21.1076,199.512,201.747,198.39
87,191.483,73.66,20.395,12.5307,187.723,189.641,186.558
88,159.777,62.9073,19.5046,10.64,204.947,206.645,202.264
89,133.104,60.0287,15.9844,11.2055,187.039,188.804,185.789
90,101.333,56.7267,14.0188,9.52522,202.199,203.356,197.519
91,180.208,70.612,17.6015,13.4903,185.393,186.623,183.528
92,185.397,70.866,21.4336,11.6951,183.008,183.787,181.32
93,539.626,114.808,34.0726,20.3833,178.398,179.463,176.817
94,142.917,62.23,15.6442,12.326,204.58,204.907,202.534
95,155.419,63.5,14.3796,14.1169,205.255,206.773,202.616
96,172.745,69.088,15.9934,14.274,202.176,202.252,201.24
97,103.218,47.9213,14.8883,9.11132,206.222,207.189,204.286
98,211.448,80.4333,22.7485,12.3392,191.258,193.4,189.715
99,138.874,62.6533,16.6782,10.8774,205.363,205.627,203.284
100,551.361,128.355,29.1605,24.7862,199.574,201.935,197.993
101,180.652,73.8293,19.3122,12.2905,183.647,185.536,182.322
102,472.099,115.57,29.1747,21.1356,180.797,182.175,178.12
103,113.089,50.3767,14.6626,10.0017,193.578,196.845,192.964
104,187.928,70.2733,17.2904,14.3893,198.887,198.895,197.021
105,194.279,71.374,18.0611,14.3875,194.414,194.536,193.62
106,126.953,58.3353,16.3683,10.0895,205.045,206.971,203.299
107,135.261,57.4887,18.1808,9.68834,185.625,188.829,184.903
108,376.609,90.932,23.084,20.9045,185.219,187.387,184.173
109,259.577,82.8887,19.0691,17.5917,204.089,206.068,202.306
110,157.018,78.232,15.3204,13.4155,189.268,191.055,186.999
111,150.086,58.7587,16.2349,12.2145,187.557,190.374,186.964
112,191.039,68.1567,19.3402,13.0718,179.997,181.514,178.286
113,71.878,43.942,11.6585,8.04259,200.45,200.77,195.313
114,432.938,86.9527,25.5044,21.995,183.833,184.551,184.008
115,276.738,100.499,22.6758,16.0498,203.376,204.933,201.672
116,118.509,54.2713,15.2495,10.3732,190.199,193.381,188.626
117,234.573,77.724,18.1077,17.3452,188.56,190.07,188.677
118,379.734,106.087,24.7983,19.9898,194.292,198.214,194.25
119,218.53,78.6553,19.6515,14.3435,202.251,204.015,200.556
120,102.136,49.8687,13.0328,10.389,190.328,192.678,189.518
121,117.577,71.628,16.7714,9.57086,191.392,193.723,188.664
122,195.878,73.0673,20.6845,12.6124,202.463,203.654,200.554
123,144.165,59.2667,16.208,11.8843,199.254,200.62,197.705
124,156.444,63.4153,14.8899,13.9236,172.813,174.161,172.057
125,172.215,70.1887,18.556,12.2095,171.66,172.271,169.817
126,109.885,53.34,19.0455,7.5661,196.871,200.749,196.673
127,505.827,114.215,29.8007,22.2883,176.02,177.991,174.922
128,2.02867,11.5993,2.54348,1.21659,152.5,132,83.5
129,153.699,63.9233,15.6029,13.3026,195.379,197.113,194.236
130,300.881,90.7627,23.9773,16.5081,184.55,187.835,184.181
131,111.713,62.6533,14.6689,9.91358,201.324,202.552,197.14
132,98.2722,51.562,12.1266,10.9174,179.841,182.482,178.234
133,181.44,73.2367,17.39,14.0226,188.66,190.532,188.441
134,140.265,56.9807,17.5846,10.4526,188.025,190.243,186.256
135,98.1002,48.4293,13.7069,9.35067,202.568,204.537,200.927
136,486.737,117.348,29.013,21.5861,179.047,183.026,179.142
137,218.81,74.168,21.6889,13.3032,174.527,175.757,172.383
138,82.2722,45.5507,13.7522,7.84707,202.978,204.741,201.162
139,444.788,106.934,27.0943,21.4694,171.48,172.565,169.843
140,224.709,75.946,20.079,14.525,193.827,197.177,192.605
141,125.34,55.88,14.9918,11.1184,192.022,195.519,191.188
142,238.279,81.28,24.6997,13.0321,174.451,176.037,173.126
143,359.985,103.124,25.7483,18.1601,189.023,191.953,188.318
144,3.12544,14.3933,2.9724,1.50584,141.3,131.44,89.68
145,572.228,103.378,34.1192,21.7384,179.657,181.514,180.31
146,258.021,79.1633,24.3834,13.8478,198.371,200.428,196.893
147,1230.1,159.597,42.6532,37.8582,164.798,165.637,164.112
148,131.168,62.1453,15.5804,10.9619,201.444,201.752,196.464
149,143.656,58.928,16.228,11.4863,195.579,197.527,192.917
150,112.731,48.006,13.0862,11.1289,191.516,193.579,189.715
151,370.329,97.79,26.6301,18.0391,201.201,203.051,199.316
152,281.426,98.4673,19.832,18.2797,198.535,198.929,196.112
153,482.874,116.247,28.9198,22.2655,191.441,192.623,190.171
154,206.494,69.5113,18.3067,14.6052,199.293,201.133,196.869
155,240.121,81.7033,19.7294,15.8838,185.196,188.632,184.645
156,265.899,82.3807,23.2272,15.1355,174.542,176.578,173.52
157,63.749,39.5393,9.94927,8.47626,198.869,199.771,193.576
158,287.025,88.392,20.3728,18.9434,172.967,174.762,171.378
159,105.993,52.4087,12.8681,10.732,188.335,191.875,188.005
160,18.2939,24.892,9.93262,2.39656,173.929,176.009,172.983
161,274.616,90.424,20.5257,17.3395,178.939,182.746,178.571
162,96.9389,52.2393,13.887,9.06493,200.769,201.677,196.527
163,156.451,63.5847,18.0591,11.2339,195.988,199.725,195.693
164,333.777,96.4353,21.9618,19.5974,187.846,191.837,187.793
165,68.9031,42.5027,11.2058,8.16271,192.861,196.019,192.166
166,88.645,52.4933,13.136,8.92272,200.18,200.6,196.338
167,418.379,100.076,30.8339,17.6536,170.206,171.762,168.743
168,72.2866,41.8253,11.5267,8.07314,194.522,196.666,192.27
169,147.971,60.706,16.1054,12.0434,172.42,172.486,169.78
170,235.634,82.4653,21.5385,14.1438,196.394,198.358,194.048
171,287.498,84.4973,19.9099,18.7975,194.846,199.043,194.848
172,146.889,58.8433,16.4214,11.7329,168.728,169.827,166.414
173,236.831,78.4013,20.7626,14.9037,182.399,186.58,182.599
174,120.881,59.8593,14.3755,11.1597,200.086,201.319,198.968
175,420.107,103.801,26.8062,20.4907,169.744,171.596,168.415
176,68.8744,46.8207,13.3597,6.85722,203.253,204.855,200.332
177,119.613,53.5093,13.7085,11.3877,201.504,201.717,198.558
178,1.93548,7.78933,2.02459,1.26118,128.667,116.648,72.5741
179,138.272,65.8707,15.1333,12.0962,197.127,199.38,195.49
180,110.236,50.4613,14.0313,10.2059,172.805,174.901,171.701
181,265.591,78.3167,21.766,15.9712,191.316,195.612,191.245
182,9.24012,15.748,7.34283,1.636,188.152,190.298,185.383
183,149.096,57.658,16.9437,11.559,170.94,172.897,169.902
184,936.314,149.437,39.4672,31.2683,173.717,177.782,173.848
185,51.0035,33.8667,9.22694,7.31707,187.127,189.264,182.98
186,259.541,66.1247,19.0728,17.612,180.066,181.972,180.584
187,170.193,63.754,18.4765,12.0885,191.141,192.768,189.552
188,114.165,52.6627,12.9003,11.5646,199.007,200.742,196.913
189,22.1218,34.544,10.3514,2.80277,196.898,198.095,193.728
190,2.79569,11.8533,2.29837,1.79767,148.105,135.895,93.2763
191,177.254,67.7333,16.9963,13.6837,199.298,201.088,199.245
192,477.153,121.751,30.301,20.7691,198.176,200.141,197.716
